@relation 'TrainingData_g2-8-weka.filters.unsupervised.attribute.Remove-V-R1,6,19,21-25'

@attribute light_livingroom {off,on}
@attribute switch_door_hallway {on,off}
@attribute current_nightlamp_bedroom {off,standby,on}
@attribute people_livingroom {off,on}
@attribute people_bedroom {off,on}
@attribute people_kitchen {off,on}
@attribute people_study {off,on}
@attribute class {OtherActivity,g2-8}

@data
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
off,off,off,off,off,on,off,OtherActivity
off,off,off,off,off,on,off,OtherActivity
off,off,off,off,off,on,off,OtherActivity
off,off,off,off,off,on,off,OtherActivity
off,off,off,off,off,on,off,OtherActivity
off,off,off,off,off,on,off,OtherActivity
off,off,off,off,off,on,off,OtherActivity
off,off,off,off,off,on,off,OtherActivity
off,off,off,off,off,on,off,OtherActivity
off,off,off,off,off,on,off,OtherActivity
off,off,off,off,off,on,off,OtherActivity
off,off,off,off,off,on,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
off,off,off,on,off,off,off,OtherActivity
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,off,off,off,off,off,off,g2-8
off,on,off,off,off,off,off,OtherActivity
off,on,off,off,off,off,off,OtherActivity
off,on,off,off,off,off,off,OtherActivity
off,on,off,off,off,off,off,OtherActivity
off,on,off,off,off,off,off,OtherActivity
off,on,off,off,off,off,off,OtherActivity
off,on,off,off,off,off,off,OtherActivity
off,on,off,off,off,off,off,OtherActivity
off,on,off,off,off,off,off,OtherActivity
off,on,off,off,off,off,off,OtherActivity
off,on,off,off,off,off,off,OtherActivity
off,on,off,off,off,off,off,OtherActivity
off,on,off,off,off,off,off,OtherActivity
off,on,off,off,off,off,off,OtherActivity
off,on,off,off,off,off,off,OtherActivity
off,on,off,off,off,off,off,OtherActivity
off,on,off,off,off,off,off,OtherActivity
off,on,off,off,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,on,on,on,off,off,OtherActivity
on,off,on,on,on,off,off,OtherActivity
on,off,on,on,on,off,off,OtherActivity
on,off,on,on,on,off,off,OtherActivity
on,off,on,on,on,off,off,OtherActivity
on,off,on,on,on,off,off,OtherActivity
on,off,on,on,on,off,off,OtherActivity
on,off,on,on,on,off,off,OtherActivity
on,off,on,on,on,off,off,OtherActivity
on,off,on,on,on,off,off,OtherActivity
on,off,on,on,on,off,off,OtherActivity
on,off,on,on,on,off,off,OtherActivity
on,off,on,on,on,off,off,OtherActivity
on,off,on,on,on,off,off,OtherActivity
on,off,on,on,on,off,off,OtherActivity
on,off,on,on,on,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,on,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,on,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
on,off,off,on,off,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
off,off,on,off,on,off,off,OtherActivity
