@relation 'TrainingData_g2-11-weka.filters.unsupervised.attribute.Remove-V-R17-18,25'

@attribute current_lamp_study {off,standby,on}
@attribute current_NB_study {off,standby,on}
@attribute class {OtherActivity,g2-11}

@data
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
off,standby,OtherActivity
